step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
409,0.20406,0.90085,,
410,0.17467,0.91349,,
411,0.14149,0.92479,,
412,0.18456,0.89409,,
413,0.1835,0.90156,,
414,0.15606,0.92621,,
415,0.18172,0.91081,,
416,0.16624,0.93519,,
417,0.2201,0.90067,,
418,0.1639,0.92036,,
419,0.16528,0.90855,,
420,0.20802,0.89753,,
421,0.18032,0.91309,,
422,0.17902,0.91789,,
423,0.18538,0.89704,,
424,0.16874,0.91429,,
425,0.18557,0.88094,,
426,0.13493,0.94502,,
427,0.18582,0.90631,,
428,0.18018,0.91387,,
429,0.17595,0.90264,,
430,0.18652,0.89602,,
431,0.14514,0.93261,,
432,0.1576,0.91979,,
433,0.19734,0.88873,,
434,0.18268,0.90236,,
435,0.18602,0.89622,,
436,0.13605,0.95067,,
437,0.16961,0.91901,,
438,0.15146,0.93992,,
439,0.13894,0.91786,,
440,0.17569,0.90249,,
441,0.15511,0.91362,,
442,0.14988,0.91727,,
443,0.15872,0.92484,,
444,0.17946,0.92784,,
445,0.17092,0.93462,,
446,0.16501,0.91791,,
447,0.16156,0.91406,,
448,0.16556,0.91068,,
449,0.14055,0.92581,,
450,0.16868,0.91326,,
451,0.14994,0.92607,,
452,0.17286,0.90817,,
453,0.19627,0.88515,,
454,0.18471,0.89907,,
455,0.13665,0.92782,,
456,0.16884,0.9131,,
457,0.17047,0.90961,,
458,0.16645,0.91998,,
459,0.18398,0.91437,,
460,0.21115,0.88683,,
461,0.19072,0.90936,,
462,0.14807,0.92727,,
463,0.14643,0.92194,,
464,0.15619,0.92256,,
465,0.14829,0.93012,,
466,0.16488,0.92609,,
467,0.18292,0.91332,,
468,0.19062,0.91638,,
469,0.14774,0.93253,,
470,0.12957,0.9376,,
471,0.14675,0.90512,,
472,0.17115,0.90573,,
473,0.15616,0.92847,,
474,0.16794,0.91956,,
475,0.16514,0.90885,,
476,0.18428,0.90382,,
477,0.15931,0.92919,,
478,0.16624,0.9256,,
479,0.12195,0.94715,,
480,0.21287,0.9027,,
481,0.18382,0.90339,,
482,0.13777,0.9374,,
483,0.17826,0.91339,,
484,0.13488,0.91609,,
485,0.17865,0.90758,,
486,0.19957,0.89266,,
487,0.15992,0.91948,,
488,0.19801,0.88969,,
489,0.17191,0.91221,,
490,0.16488,0.90541,,
491,0.15568,0.93951,,
492,0.17935,0.911,,
493,0.16385,0.8966,,
494,0.16245,0.91217,,
495,0.16546,0.9019,,
496,0.15798,0.90903,,
497,0.1501,0.92242,,
498,0.16653,0.90222,,
499,0.16073,0.91106,,
500,0.19043,0.90424,,
501,0.15737,0.94179,0.18421,0.67442
502,0.16026,0.9119,,
503,0.16137,0.91817,,
504,0.16117,0.9101,,
505,0.16431,0.92302,,
506,0.13199,0.93299,,
507,0.17076,0.92204,,
508,0.16015,0.92531,,
509,0.14926,0.91351,,
510,0.16897,0.90737,,
511,0.1615,0.92125,,
512,0.16325,0.91419,,
513,0.15417,0.91294,,
514,0.17307,0.90927,,
515,0.13143,0.92676,,
516,0.13361,0.9255,,
517,0.16769,0.91505,,
518,0.14763,0.93966,,
519,0.15226,0.9204,,
520,0.14175,0.91989,,
521,0.15623,0.92555,,
522,0.17216,0.91658,,
523,0.1739,0.90871,,
524,0.16942,0.92147,,
525,0.16453,0.91811,,
526,0.16061,0.925,,
527,0.14016,0.93726,,
528,0.14333,0.91517,,
529,0.17081,0.9095,,
530,0.16348,0.90762,,
531,0.15874,0.90087,,
532,0.14913,0.93353,,
533,0.13966,0.93327,,
534,0.12623,0.93957,,
535,0.1411,0.92201,,
536,0.15861,0.93496,,
537,0.16631,0.90988,,
538,0.14784,0.92974,,
539,0.13281,0.94213,,
540,0.1512,0.925,,
541,0.17802,0.90384,,
542,0.17465,0.92248,,
543,0.14335,0.93634,,
544,0.14461,0.91622,,
545,0.1621,0.92519,,
546,0.14911,0.91657,,
547,0.1596,0.92848,,
548,0.12478,0.93314,,
549,0.21296,0.9131,,
550,0.16815,0.91702,,
551,0.18991,0.90713,,
552,0.14695,0.92548,,
553,0.17473,0.9146,,
554,0.11391,0.95061,,
555,0.16135,0.92566,,
556,0.16392,0.91826,,
557,0.15239,0.92531,,
558,0.16428,0.92421,,
559,0.12746,0.93463,,
560,0.1084,0.93952,,
561,0.16392,0.90666,,
562,0.13064,0.92407,,
563,0.13331,0.93178,,
564,0.13937,0.93352,,
565,0.171,0.91812,,
566,0.15182,0.92606,,
567,0.18321,0.90148,,
568,0.18693,0.90691,,
569,0.13972,0.93463,,
570,0.16694,0.91375,,
571,0.16351,0.91796,,
572,0.14865,0.91449,,
573,0.14484,0.92834,,
574,0.15343,0.93722,,
575,0.1437,0.9235,,
576,0.12485,0.9505,,
577,0.13332,0.93297,,
578,0.12288,0.93913,,
579,0.11616,0.9479,,
580,0.12666,0.94482,,
581,0.16137,0.9237,,
582,0.16028,0.9388,,
583,0.11985,0.93973,,
584,0.14075,0.91515,,
585,0.16936,0.91641,,
586,0.14776,0.92522,,
587,0.1249,0.95181,,
588,0.1401,0.9347,,
589,0.15359,0.92508,,
590,0.12406,0.93226,,
591,0.18816,0.90923,,
592,0.13085,0.926,,
593,0.13876,0.93001,,
594,0.14793,0.93121,,
595,0.14047,0.93714,,
596,0.13302,0.94942,,
597,0.13684,0.91876,,
598,0.13456,0.93647,,
599,0.14361,0.92876,,
600,0.21,0.89591,,
601,0.17539,0.90833,0.11596,0.70208
602,0.14854,0.92953,,
603,0.16032,0.92213,,
604,0.13777,0.92857,,
605,0.13137,0.93171,,
606,0.16981,0.9242,,
607,0.12065,0.93931,,
608,0.13743,0.94124,,
609,0.161,0.93081,,
610,0.14536,0.92973,,
611,0.12666,0.93976,,
612,0.16159,0.92863,,
613,0.14715,0.92641,,
614,0.15292,0.92102,,
615,0.15642,0.92433,,
616,0.13719,0.92459,,
617,0.14194,0.92107,,
618,0.12981,0.94298,,
619,0.18091,0.9101,,
620,0.17039,0.92256,,
621,0.10228,0.96367,,
622,0.13017,0.94246,,
623,0.0996,0.94976,,
624,0.16995,0.91676,,
625,0.13051,0.92469,,
626,0.16527,0.91616,,
627,0.17623,0.9276,,
628,0.17982,0.91042,,
629,0.13737,0.93618,,
630,0.13881,0.93131,,
631,0.13516,0.95646,,
632,0.15637,0.94516,,
633,0.18033,0.90461,,
634,0.13469,0.93599,,
635,0.14326,0.93693,,
636,0.17151,0.90894,,
637,0.17173,0.90813,,
638,0.15072,0.93926,,
639,0.17047,0.94011,,
640,0.13332,0.9463,,
