step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
689,0.05144,0.97884,,
690,0.04403,0.97661,,
691,0.06442,0.97009,,
692,0.06726,0.97661,,
693,0.03328,0.99435,,
694,0.02277,0.98765,,
695,0.07953,0.9801,,
696,0.10625,0.97512,,
697,0.09429,0.95628,,
698,0.07931,0.96296,,
699,0.04158,0.9798,,
700,0.11768,0.94558,,
701,0.1293,0.96552,0.06612,0.74074
702,0.07994,0.94915,,
703,0.04298,0.98068,,
704,0.03278,0.98907,,
705,0.07496,0.9697,,
706,0.06668,0.96721,,
707,0.14387,0.94048,,
708,0.02866,0.97917,,
709,0.04152,0.97076,,
710,0.05905,0.98068,,
711,0.04348,0.98039,,
712,0.09815,0.96045,,
713,0.03547,0.97807,,
714,0.06564,0.96354,,
715,0.04392,0.9899,,
716,0.03397,0.9875,,
717,0.03931,0.98148,,
718,0.06438,0.96721,,
719,0.01815,0.98958,,
720,0.04073,0.98718,,
721,0.02354,0.98693,,
722,0.03986,0.97484,,
723,0.07998,0.96053,,
724,0.08176,0.95726,,
725,0.08221,0.96444,,
726,0.07633,0.97653,,
727,0.05875,0.97576,,
728,0.0318,0.97561,,
729,0.09536,0.96045,,
730,0.02198,0.98333,,
731,0.04275,0.97531,,
732,0.09511,0.95161,,
733,0.02663,0.99471,,
734,0.02762,0.98551,,
735,0.03916,0.98361,,
736,0.13558,0.93567,,
737,0.04756,0.96804,,
738,0.03363,0.97701,,
739,0.07464,0.96569,,
740,0.02616,0.98571,,
741,0.02101,0.98529,,
742,0.02941,0.98907,,
743,0.03498,0.99383,,
744,0.07136,0.96667,,
745,0.01792,0.99454,,
746,0.02831,0.98942,,
747,0.03684,0.99444,,
748,0.04676,0.98095,,
749,0.04633,0.98214,,
750,0.05001,0.97778,,
751,0.12032,0.96,,
752,0.03439,0.98907,,
753,0.06941,0.97076,,
754,0.03667,0.9902,,
755,0.02591,0.98925,,
756,0.11499,0.95385,,
757,0.07787,0.96875,,
758,0.03347,0.98718,,
759,0.08796,0.97549,,
760,0.01466,0.99306,,
761,0.05472,0.97849,,
762,0.02925,0.99495,,
763,0.07987,0.96875,,
764,0.08639,0.96855,,
765,0.14659,0.92262,,
766,0.07098,0.97619,,
767,0.03188,0.98571,,
768,0.06399,0.97101,,
769,0.06968,0.96045,,
770,0.01841,0.9887,,
771,0.07468,0.96569,,
772,0.04144,0.98438,,
773,0.07415,0.97333,,
774,0.06496,0.97403,,
775,0.03411,0.98519,,
776,0.03149,0.97531,,
777,0.01971,0.98305,,
778,0.14242,0.93333,,
779,0.0793,0.96667,,
780,0.00929,1.0,,
781,0.07081,0.98361,,
782,0.07997,0.96111,,
783,0.11431,0.95588,,
784,0.01908,0.98958,,
785,0.08404,0.97268,,
786,0.07852,0.96552,,
787,0.05084,0.95906,,
788,0.04141,0.97959,,
789,0.05549,0.97436,,
790,0.02971,0.99415,,
791,0.08556,0.97015,,
792,0.02981,0.99567,,
793,0.06168,0.97175,,
794,0.09287,0.96237,,
795,0.093,0.96111,,
796,0.04244,0.99048,,
797,0.07681,0.95045,,
798,0.02153,0.98925,,
799,0.03318,0.98305,,
800,0.02471,0.99394,,
801,0.02872,0.98361,0.04432,0.75521
802,0.04649,0.9845,,
803,0.0591,0.97386,,
804,0.08098,0.95322,,
805,0.02678,0.98889,,
806,0.04577,0.97949,,
807,0.05523,0.96552,,
808,0.064,0.97701,,
809,0.08875,0.95312,,
810,0.07889,0.97163,,
811,0.04584,0.98214,,
812,0.01662,0.9902,,
813,0.05011,0.97312,,
814,0.05087,0.9774,,
815,0.14676,0.94709,,
816,0.06151,0.97949,,
817,0.08248,0.96354,,
818,0.04257,0.97576,,
819,0.0819,0.96175,,
820,0.02731,0.9902,,
821,0.08541,0.96244,,
822,0.05801,0.98148,,
823,0.13178,0.94253,,
824,0.06778,0.96491,,
825,0.09142,0.96875,,
826,0.03147,0.9887,,
827,0.04214,0.97778,,
828,0.04329,0.97872,,
829,0.01702,1.0,,
830,0.07564,0.96569,,
831,0.10013,0.93878,,
832,0.03144,0.98788,,
833,0.0237,0.99005,,
834,0.05098,0.96847,,
835,0.03012,0.97576,,
836,0.08437,0.9641,,
837,0.0971,0.97512,,
838,0.05893,0.97701,,
839,0.04276,0.9887,,
840,0.08098,0.96396,,
841,0.03253,0.98529,,
842,0.01717,0.98958,,
843,0.04182,0.97884,,
844,0.0447,0.97436,,
845,0.04658,0.99333,,
846,0.03906,0.96923,,
847,0.02044,0.99405,,
848,0.10095,0.94872,,
849,0.0387,0.97917,,
850,0.02531,0.98788,,
851,0.12114,0.95628,,
852,0.01653,1.0,,
853,0.07358,0.97436,,
854,0.07059,0.9548,,
855,0.08814,0.95906,,
856,0.05799,0.9932,,
857,0.04261,0.98361,,
858,0.09163,0.97268,,
859,0.01634,1.0,,
860,0.0454,0.97849,,
861,0.06045,0.96296,,
862,0.09915,0.96923,,
863,0.01391,0.99383,,
864,0.07457,0.97312,,
865,0.07259,0.97059,,
866,0.10326,0.96377,,
867,0.12407,0.96135,,
868,0.064,0.97015,,
869,0.02517,0.99435,,
870,0.14842,0.91525,,
871,0.01596,0.99487,,
872,0.019,0.99259,,
873,0.05619,0.97396,,
874,0.05099,0.97076,,
875,0.02849,0.97024,,
876,0.05043,0.98068,,
877,0.0746,0.95322,,
878,0.01358,0.99415,,
879,0.09994,0.96135,,
880,0.0184,0.99099,,
881,0.0936,0.9619,,
882,0.07425,0.97126,,
883,0.05861,0.97396,,
884,0.06208,0.97701,,
885,0.08711,0.95305,,
886,0.04836,0.98148,,
887,0.08065,0.96444,,
888,0.04108,0.98077,,
889,0.08884,0.95906,,
890,0.02799,0.98667,,
891,0.07775,0.95082,,
892,0.11801,0.95767,,
893,0.0331,0.98413,,
894,0.05197,0.97576,,
895,0.09474,0.97222,,
896,0.05865,0.96364,,
897,0.10279,0.95906,,
898,0.0567,0.97661,,
899,0.10129,0.94928,,
900,0.10944,0.95556,,
901,0.01976,0.98851,0.05531,0.74479
902,0.07093,0.97368,,
903,0.05577,0.97701,,
904,0.08689,0.9602,,
905,0.08408,0.96377,,
906,0.0894,0.9625,,
907,0.03749,0.98742,,
908,0.11106,0.95238,,
909,0.06503,0.9801,,
910,0.06341,0.97585,,
911,0.08038,0.96667,,
912,0.07102,0.97059,,
913,0.0701,0.98333,,
914,0.08044,0.97354,,
915,0.08575,0.95775,,
916,0.04701,0.98718,,
917,0.05007,0.97884,,
918,0.08548,0.96347,,
919,0.02824,0.98667,,
920,0.0961,0.94915,,
921,0.04278,0.98095,,
922,0.05073,0.98039,,
923,0.11482,0.96237,,
924,0.05751,0.97126,,
925,0.15943,0.92308,,
926,0.08675,0.95652,,
927,0.08977,0.95425,,
928,0.07687,0.96429,,
929,0.09343,0.94872,,
930,0.03326,0.98889,,
